,influence_index,rating
kikoleungyan,147.16716477416566,B
lynnx1010,146.77698311364995,B
emilyszemei,145.6085219809854,B
angelc_ky,142.73649875498003,B
tedzted,142.4541575674524,B
xcanadian,142.36007700539548,B
nomundodapaula,140.50606766828298,C
bluegodzi,140.27420538076828,C
oonatashaoo,140.15725433114412,C
di2da,139.93470011476322,C
cheyuenyuen1228,139.7918314963466,C
c2mwen201999,137.45888491001415,C
reveeyewear,137.14855615051286,C
wysminnie,136.61449265077457,C
fungblackandwhite,134.80724592028307,C
wiyona,134.38464166934563,C
pantinka,134.1872036574326,C
jackwu823,133.36496911203062,C
lidi_k,132.29939125219985,C
pinkicon_shop,131.46522375922066,C
barrettbott,130.91414339461647,C
raywychin,128.95405917307565,C
chuihammer,128.8335022014238,C
chenghao.shih,128.18037805485713,C
ah_hin,127.6262892111562,C
mzcca0.16,126.79076548061036,C
yeunghatou,126.74459389001896,C
inarosca_,125.8935966322241,C
explore_hongkong,125.88324514881816,C
ck.u.chin,125.46233027407922,C
harbourcity,124.22590562641469,C
polly.cpl,123.81503881233121,C
paulgoor,123.37032536856057,C
fit1world,123.2507306373809,C
kulkimoose,123.00991567370724,C
beaconcollegehk,122.71887425242176,C
ciao_kitchen,122.69170982554301,C
manyeeb,122.36180665085459,C
ho.ma.de,122.28030051643272,C
jjackielauu,121.9098813630383,C
littlemsfoodie,121.30304183709285,C
amberchann46,121.28627031283791,C
kirbysau,120.74654326611393,C
leannefu_1027,118.90793568700963,C
stefanwch,118.19985901985703,C
izzue,117.92751689641872,C
no3l,115.91117672418875,C
immark_ig,115.14781000198764,C
sassyhongkong,115.02919991775552,C
sweetymagic_hk,114.78704652974496,C
szekikk,113.61780581354185,C
bestcouple.ten,113.06299181788619,C
rene_superawesome,112.8538930978008,C
wingshya,112.04824626926779,C
bluepongpong,111.21397979125815,C
strawberryicy,109.80404686097337,C
annabella.woo,109.03271837979524,C
dimdim1125,108.73081118775954,C
sumsum_dessert,108.4471835481304,C
peace.matisse,107.79343077529948,C
antwallace,106.30698703729674,C
roma_trend,105.89730273084622,C
vivi_vivianlaw,105.57299676891365,C
yuenchingfung,105.4096102999692,C
feannasswag,104.89116584974319,C
princesshouseee_,104.7512621488582,C
lamlamjessie,102.47585681676773,C
zaak6naam4,101.60316515213734,C
dkanipe,100.171120053359,C
hifivehk,100.10087467867892,C
king_mcwhorter,99.45355761758461,C
yan512,99.02064941236199,C
vesta_ko,99.01194719482366,C
clau_slimes,97.73424975758991,C
magiclouisyan,97.69479155315308,C
phoebspang,97.3753012366614,C
c_allstar,96.77712961067961,C
mmmorganxz,96.67380778729017,C
julian_taraa,95.16771687297766,C
dsl_hongkong,94.72128981288255,C
gigi_ggggg,94.61579800938229,C
choy_ian,94.57831625810817,C
dorothyma,94.45259221359272,C
phoebedreamy,94.36661543425653,C
amandastrang_,93.79042925962965,C
kamchi_chan,93.57606396532522,C
szetosifu,93.4130972418191,C
babyxshadow,92.17454220806012,C
whitney.hui,92.15876724183885,C
saffiesaffie,91.86490344962037,D
johnny__to,91.68156538972939,D
crownhill_shoes,91.09378484116368,D
educational_innovations,89.70808903046117,D
chakwilliam,89.63402044225346,D
jessicawong_wt,89.55985088524132,D
rikkolee,89.22482665859302,D
innarhighfield,88.92208295134498,D
gta5ous,88.48311521825396,D
sneaker_house88,88.232394740517,D
nirmal_sewda,85.46793034553782,D
lokyi_mui,84.4607376739438,D
sineo_sy,81.7216255800541,D
misslilyho,77.92823895575462,D
numberonepr,77.58684237593648,D
dude_clothing,76.94583530132988,D
soyiuchung,76.93864821373205,D
bonnieyiuu,76.05055776675486,D
fungpoyan,71.29837796512183,D
hkfoodie_lifestyle,58.088277579759634,D
siuhinng,57.42146727528501,D
bake.your.own,52.84405943570524,D
syanleung,48.12781507206529,D
seeing2sea,44.16174529402019,D
our.daily.hk,43.16137392059951,D
bowiechoibuiyi,42.32167257343489,D
