,ig_id,is_HK,updated_following_list_time,details_updated_time,following_list
295,rimmy.xu,Hong Kong,2020-01-01,2022-04-16,yet
296,endychowjaugwokyin,Hong Kong,2020-01-01,2022-04-16,yet
297,wingyi127,Hong Kong,2020-01-01,2022-04-16,yet
298,khengchan_,Hong Kong,2020-01-01,2022-04-16,yet
299,bpressk,Hong Kong,2020-01-01,2022-04-16,yet
300,equeen1113,Hong Kong,2020-01-01,2022-04-16,yet
301,jadelamm,Hong Kong,2020-01-01,2022-04-16,yet
302,sheepyjoycetang,Hong Kong,2020-01-01,2022-04-16,yet
303,shirleyelephant,Hong Kong,2020-01-01,2022-04-16,yet
304,ginleeginlee,Hong Kong,2020-01-01,2022-04-16,yet
305,pandora_cake_shop,Hong Kong,2020-01-01,2022-04-16,yet
306,ma_chun_wai,Hong Kong,2020-01-01,2022-04-16,yet
307,welovehkcity,Hong Kong,2020-01-01,2022-04-16,yet
308,tinawzq,Hong Kong,2020-01-01,2022-04-16,yet
309,newmondayplus,Hong Kong,2020-01-01,2022-04-16,yet
310,candies_wawa,Hong Kong,2020-01-01,2022-04-16,yet
311,avabibu,Hong Kong,2020-01-01,2022-04-16,yet
312,gingerlemoncola,Hong Kong,2020-01-01,2022-04-16,yet
313,stephaniehsau,Hong Kong,2020-01-01,2022-04-16,yet
314,kwongchunyu,Hong Kong,2020-01-01,2022-04-16,yet
315,shinkongo,Hong Kong,2020-01-01,2022-04-16,yet
316,charlie1129999,Hong Kong,2020-01-01,2022-04-16,yet
317,fredcheng83,Hong Kong,2020-01-01,2022-04-16,yet
318,hongkong_doll,Hong Kong,2020-01-01,2022-04-16,yet
319,rainkywai,Hong Kong,2020-01-01,2022-04-16,yet
320,bbcchinese,Hong Kong,2020-01-01,2022-04-16,yet
321,tat.gor,Hong Kong,2020-01-01,2022-04-16,yet
322,emilylam.ho,Hong Kong,2020-01-01,2022-04-16,yet
323,cusonlo,Hong Kong,2020-01-01,2022-04-16,yet
324,farhanfirms,Hong Kong,2020-01-01,2022-04-16,yet
325,mingjai14,Hong Kong,2020-01-01,2022-04-16,yet
326,rita.__lin__,Hong Kong,2020-01-01,2022-04-16,yet
327,gwendolyn.spot,Hong Kong,2020-01-01,2022-04-16,yet
328,myfataunt,Hong Kong,2020-01-01,2022-04-16,yet
329,wungani,Hong Kong,2020-01-01,2022-04-16,yet
330,as1.entertainment,Hong Kong,2020-01-01,2022-04-16,yet
